timestamp,src_ip,dst_ip,src_port,dst_port,protocol,length
1733240489.012055,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240489.255410,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240489.255445,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240489.490803,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240489.490833,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240489.758512,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240489.758547,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240490.019052,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240490.019086,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240490.282929,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240490.282970,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240490.526729,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240490.526760,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240490.763672,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240490.763702,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240491.023399,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240491.023431,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240491.259449,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240491.259484,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240491.523277,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240491.523311,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240491.755212,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240491.755255,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240491.991831,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240491.991870,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240492.246995,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240492.247026,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240492.491079,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240492.491115,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240492.748921,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240492.748956,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240492.987716,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240492.987749,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240493.234698,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240493.234729,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240493.495580,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240493.495621,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240493.727323,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240493.727356,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240494.039335,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240494.039373,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240494.306674,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240494.306705,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240494.547016,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240494.547048,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240494.795414,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240494.795446,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240495.046824,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240495.046857,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240495.288083,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240495.288117,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240495.523188,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240495.523220,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240495.770875,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240495.770907,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240495.817557,fe80::4c5b:8eff:fe31:6e6c,ff02::2,,,58,70
1733240495.817854,fe80::c054:f2ff:fe05:3d83,ff02::2,,,58,70
1733240495.819211,fe80::6076:70ff:fecb:77e4,ff02::2,,,58,70
1733240496.020334,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240496.020367,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240496.254651,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240496.254684,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240496.511618,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240496.511650,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240496.759655,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240496.759690,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240497.019960,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240497.019995,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240497.263495,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240497.263535,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240497.516065,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240497.516100,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240497.752040,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240497.752082,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240498.002683,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240498.002715,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240498.243981,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240498.244028,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240498.503600,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240498.503631,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240498.739059,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240498.739091,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240498.995077,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240498.995113,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240499.239259,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240499.239291,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240499.488020,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240499.488052,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240499.792370,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240499.792415,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240500.066879,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240500.066913,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240500.307324,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240500.307355,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240500.567388,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240500.567420,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240500.839344,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240500.839371,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240501.096339,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240501.096373,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240501.361927,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240501.361959,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240501.621115,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240501.621150,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240501.859510,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240501.859544,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240502.123696,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240502.123731,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240502.378696,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240502.378728,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240502.615320,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240502.615355,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240502.862980,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240502.863012,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240503.102859,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240503.102893,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240503.347514,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240503.347549,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240503.582973,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240503.583007,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240503.835530,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240503.835567,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240504.107018,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240504.107052,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240504.374756,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240504.374786,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240504.624362,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240504.624401,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240504.875038,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240504.875074,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240505.127264,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240505.127299,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240505.391935,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240505.391971,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240505.631376,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240505.631409,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240505.875322,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240505.875353,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240506.122922,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240506.122957,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240506.363036,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240506.363067,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240506.688553,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240506.688586,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240506.930644,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240506.930674,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240507.195840,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240507.195872,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240507.454931,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240507.454966,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240507.715566,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240507.715598,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240507.963217,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240507.963251,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240508.228132,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240508.228167,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240508.470768,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240508.470800,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240508.756422,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240508.756457,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240508.999718,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240508.999754,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240509.235196,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240509.235224,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240509.479079,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240509.479113,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240509.715732,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240509.715767,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240509.963481,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240509.963514,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240510.235371,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240510.235406,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240510.476595,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240510.476627,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240510.711421,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240510.711456,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240510.952513,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240510.952548,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240511.195126,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240511.195169,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240511.443504,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240511.443540,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240511.691080,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240511.691112,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240511.931304,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240511.931338,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240512.194838,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240512.194872,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240512.426775,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240512.426808,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240512.666878,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240512.666910,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240512.915422,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240512.915453,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240513.143012,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240513.143044,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240513.391131,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240513.391166,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240513.640168,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240513.640206,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240513.910705,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240513.910747,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240514.183318,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240514.183359,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240514.451702,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240514.451738,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240514.718884,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240514.718916,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240514.974689,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240514.974720,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240515.218821,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240515.218855,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240515.463188,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240515.463232,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240515.741409,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240515.741444,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240515.995945,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240515.995993,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240516.275101,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240516.275133,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240516.523156,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240516.523188,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240516.767362,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240516.767396,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240517.027874,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240517.027909,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240517.278885,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240517.278920,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240517.530946,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240517.530981,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240517.795734,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240517.795770,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240518.039451,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240518.039481,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240518.302725,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240518.302756,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240518.550738,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240518.550771,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240518.819176,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240518.819226,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240519.063073,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240519.063104,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240519.318938,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240519.318973,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240519.559179,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240519.559209,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240519.802702,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240519.802734,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240520.039576,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240520.039609,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240520.271232,10.0.0.1,10.0.0.2,20.0,80.0,6,54
1733240520.271270,10.0.0.2,10.0.0.1,80.0,20.0,6,54
1733240520.515054,10.0.0.1,10.0.0.2,20.0,80.0,6,54
